"filename", "language", "Shell Script", "Python", "JavaScript", "HTML", "JSON", "CSS", "Batch", "PHP", "XML", "PowerShell", "Properties", "Markdown", "reStructuredText", "C", "comment", "blank", "total"
"c:\Users\seanh\OneDrive\Aether\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\seanh\OneDrive\Aether\frontend\package-lock.json", "JSON", 0, 0, 0, 0, 17100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17101
"c:\Users\seanh\OneDrive\Aether\frontend\package.json", "JSON", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\seanh\OneDrive\Aether\frontend\public\index.html", "HTML", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 1, 44
"c:\Users\seanh\OneDrive\Aether\frontend\public\manifest.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\seanh\OneDrive\Aether\frontend\src\App.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\seanh\OneDrive\Aether\frontend\src\components\friendRequestsList.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 50
"c:\Users\seanh\OneDrive\Aether\frontend\src\components\messagesButton.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\seanh\OneDrive\Aether\frontend\src\components\sendFriendRequest.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 35
"c:\Users\seanh\OneDrive\Aether\frontend\src\css\messages.css", "CSS", 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 33
"c:\Users\seanh\OneDrive\Aether\frontend\src\index.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 31
"c:\Users\seanh\OneDrive\Aether\python\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\seanh\OneDrive\Aether\python\chat.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 25
